2026-06-13 10:39:58,891 | MainLogger | INFO | Loaded 394 documents from PDF directory.
2026-06-13 10:48:16,985 | MainLogger | INFO | Loaded 394 documents from PDF directory.
2026-06-13 10:55:09,627 | MainLogger | INFO | Loaded 394 documents from PDF directory.
2026-06-13 12:02:19,761 | MainLogger | INFO | Generated 0 embeddings from PDF directory.
2026-06-13 12:03:37,744 | MainLogger | INFO | Generated 0 embeddings from PDF directory.
2026-06-13 12:04:22,050 | MainLogger | INFO | Generated 0 embeddings from PDF directory.
2026-06-13 12:04:40,037 | MainLogger | INFO | Generated 0 embeddings from PDF directory.
2026-06-13 12:05:26,055 | MainLogger | INFO | Generated 0 embeddings from PDF directory.
2026-06-13 12:06:06,872 | MainLogger | INFO | Generated 0 embeddings from PDF directory.
2026-06-13 12:06:36,135 | MainLogger | INFO | Generated 0 embeddings from PDF directory.
2026-06-13 12:09:04,870 | MainLogger | INFO | Generated 0 embeddings from PDF directory.
2026-06-13 12:11:20,984 | MainLogger | INFO | Generated 392 embeddings from PDF directory.
2026-06-13 12:17:28,278 | MainLogger | INFO | Generated 392 embeddings from PDF directory.
